place_name,place_location,known_for
1. Munnar,Located in : Kerala,"Known For : 
  Mattupetty Dam  
 

  Kolukkumalai Tea Estate   

  Top Station"
2. Gangtok,Located in : Sikkim,Best Time:  Throughout the year
3. Kashmir,Located in : Jammu and Kashmir,"Known For : 
  Dal Lake  
 

  Gulmarg Gondola   

  Houseboat Stay"
4. Manali,Located in : Himachal Pradesh,"Known For : 
  Solang Valley  
 

  Hadimba Devi Temple   

  Manali Mall Road"
5. Jaipur,Located in : Rajasthan,"Known For : 
  Amer Fort  
 

  Hawa Mahal   

  Jantar Mantar Jaipur"
6. Alleppey,Located in : Kerala,"Known For : 
  Houseboats in Alleppey  
 

  Ambalappuzha Sree Krishna Swamy Temple   

  Alleppey Beach"
7. Andaman and Nicobar Islands,,"Known For : 
  Radhanagar Beach  
 

  Cellular Jail   

  Scuba Diving In Andaman"
8. Gulmarg,Located in : Jammu and Kashmir,"Known For : 
  Gulmarg Gondola  
 

  Apharwat Peak   

  Kongdori Phase 1"
9. Srinagar,Located in : Jammu and Kashmir,"Known For : 
  Dal Lake  
 

  Indira Gandhi Memorial Tulip Garden   

  Nigeen Lake"
10. Shillong,Located in : Meghalaya,"Known For : 
  Umiam Lake  
 

  Elephant Falls   

  Shillong Peak"
11. Kutch,Located in : Gujarat,"Known For : 
  Great Rann of Kutch  
 

  Kutch Desert Wildlife Sanctuary   

  Indian Wild Ass Sanctuary"
12. Rishikesh,Located in : Uttarakhand,"Known For : 
  Triveni Ghat  
 

  Rafting in Rishikesh   

  Shree Neelkanth Mahadev Temple"
13. Darjeeling,Located in : West Bengal,"Known For : 
  Darjeeling Himalayan Railway  
 

  Batasia Loop   

  Darjeeling Ropeway"
14. Kodaikanal,Located in : Tamil Nadu,"Known For : 
  Dolphin's Nose, Kodaikanal  
 

  Devil's Kitchen (Guna Cave)   

  Green Valley View (Suicide Point)"
15. Ajanta and Ellora Caves,Located in : Maharashtra,"Known For : 
  Ajanta Caves  
 

  Grishneshwar Temple, Ellora   

  The Buddhist Caves, Ellora"
16. Coorg,Located in : Karnataka,"Known For : 
  Abbey Falls  
 

  Mandalpatti   

  Raja's Seat"
17. Ooty,Located in : Tamil Nadu,"Known For : 
  Nilgiri Mountain Railway  
 

  Ooty Lake   

  Dolphin's Nose"
18. Ladakh,,"Known For : 
  Pangong Lake  
 

  Khardung La   

  Leh Palace"
19. Mcleodganj,Located in : Himachal Pradesh,"Known For : 
  Naddi View Point  
 

  St. John in the Wilderness Church   

  Triund"
20. Hampi,Located in : Karnataka,"Known For : 
  Virupaksha Temple, Hampi  
 

  Vithala Temple   

  Lotus Palace"
21. Tawang,Located in : Arunachal Pradesh,"Known For : 
  Tawang Monastery  
 

  Madhuri Lake   

  Nuranang Falls"
22. Nainital,Located in : Uttarakhand,"Known For : 
  Naini Lake  
 

  Snow View Point   

  Tiffin Top"
23. Shimla,Located in : Himachal Pradesh,"Known For : 
  Jakhu Temple  
 

  Mall Road, Shimla   

  Rashtrapati Niwas (Viceregal Lodge)"
24. Mussoorie,Located in : Uttarakhand,"Known For : 
  Mussoorie Mall Road  
 

  Lal Tibba   

  Kempty Falls"
25. Khajjiar,Located in : Himachal Pradesh,"Known For : 
  Khajjiar lake  
 

  Homestay Experience in Khajjiar   

  Kalatop Wildlife Sanctuary"
26. Wayanad,Located in : Kerala,"Known For : 
  Edakkal Caves  
 

  Banasura Sagar Dam   

  Chembra Peak"
27. Lakshadweep,,"Known For : 
  Minicoy Island  
 

  Agatti Islands   

  Kalpeni Island"
28. Varanasi,Located in : Uttar Pradesh,"Known For : 
  Shri Kashi Vishwanath Temple  
 

  Ganga Aarti   

  Assi Ghat"
29. Agra,Located in : Uttar Pradesh,"Known For : 
  Taj Mahal  
 

  Agra Fort   

  Itimad-ud-daulah's Tomb"
30. Goa,Located in : Goa,"Known For : 
  Calangute Beach  
 

  Dudhsagar Falls   

  Fort Aguada"
31. Amritsar,Located in : Punjab,"Known For : 
  Golden Temple  
 

  Jallianwala Bagh   

  Partition Museum"
32. Udaipur,Located in : Rajasthan,"Known For : 
  City Palace, Udaipur  
 

  Lake Pichola   

  Jagmandir Palace"
33. Delhi,Located in : Ncr,"Known For : 
  India Gate  
 

  Red Fort   

  Akshardham Temple"
34. Char Dham Yatra,Located in : Uttarakhand,"Best Time:  May - June, September - October"
35. Mumbai,Located in : Maharashtra,"Known For : 
  Gateway of India  
 

  Chhatrapati Shivaji Terminus   

  Film City (Dadasaheb Phalke Chitranagari)"
36. Jaisalmer,Located in : Rajasthan,"Known For : 
  Jaisalmer Fort  
 

  Desert Safari in Jaisalmer   

  Gadisar Lake"
37. Jodhpur,Located in : Rajasthan,"Known For : 
  Mehrangarh Fort  
 

  Umaid Bhawan Palace   

  Mahamandir Temple"
38. Kolkata,Located in : West Bengal,"Known For : 
  Victoria Memorial  
 

  Fort William Kolkata   

  Belur Math"
39. Pondicherry,,"Known For : 
  Paradise Beach, Pondicherry  
 

  Aurobindo Ashram   

  Auroville"
40. Pahalgam,Located in : Jammu and Kashmir,"Known For : 
  Aru Valley  
 

  Baisaran   

  Betaab Valley"
41. Golden Triangle India,,Best Time:  October - March
42. Varkala,Located in : Kerala,"Known For : 
  Varkala Cliff  
 

  Janardhanaswamy Temple   

  Varkala Beach"
43. Honnavar,Located in : Karnataka,"Known For : 
  Apsarakonda Waterfalls  
 

  Sharavathi Kandla Mangrove Boardwalk"
44. Kanyakumari,Located in : Tamil Nadu,"Known For : 
  Kanyakumari Beach  
 

  Vivekananda Rock Memorial   

  Thanumalayan Temple - Sthanumalayan Kovil"
45. Dalhousie,Located in : Himachal Pradesh,"Known For : 
  Panchpula  
 

  Dainkund Peak   

  Satdhara Falls"
46. Vaishno Devi,Located in : Jammu and Kashmir,"Known For : 
  Vaishno Devi Mandir  
 

  Ardhkuwari"
47. Bangalore,Located in : Karnataka,"Known For : 
  Lalbagh  
 

  Cubbon Park   

  Bangalore Palace"
48. Chennai,Located in : Tamil Nadu,"Known For : 
  MGR Film City  
 

  Government Museum, Chennai   

  Marina Beach"
49. Kochi,Located in : Kerala,"Known For : 
  Fort Kochi  
 

  Mattancherry Palace   

  Kumbalangi Integrated Tourism Village"
50. Rameshwaram,Located in : Tamil Nadu,"Known For : 
  Rameshwaram Temple  
 

  Dhanushkodi Temple and Beach   

  Jatayu Tirtham"
51. Gokarna,Located in : Karnataka,"Known For : 
  Mahabaleshwara Temple  
 

  Om Beach   

  Paradise Beach, Gokarna"
52. Havelock Island,,"Known For : 
  Radhanagar Beach  
 

  Elephant Beach   

  Kalapathar Beach"
53. Haridwar,Located in : Uttarakhand,"Known For : 
  Har Ki Pauri  
 

  Maa Mansa Devi Temple   

  Ganga Aarti Sthal"
54. Thekkady,Located in : Kerala,"Known For : 
  Periyar National Park  
 

  Kadathanadan Kalari Centre   

  Periyar Tiger Trail"
55. Khajuraho,Located in : Madhya Pradesh,"Known For : 
  Light and Sound Show, Khajuraho  
 

  Dulhadev Temple   

  Kandariya Mahadev Temple"
56. Ujjain,Located in : Madhya Pradesh,"Known For : 
  Shri Mahakaleshwar Jyotirlinga Temple  
 

  Shree Harsiddhi Mata Shaktipeeth Temple   

  Shri Kaal Bhairav Temple"
57. Spiti Valley,Located in : Himachal Pradesh,"Known For : 
  Key Monastery  
 

  Chandratal Lake   

  Pin Valley National Park"
58. Bir Billing,Located in : Himachal Pradesh,"Known For : 
  Paragliding in Bir Billing  
 

  Chokling Monastery   

  Gunehar Waterfall"
59. Ranthambore,Located in : Rajasthan,"Known For : 
  Ranthambore Tiger Reserve  
 

  Ranthambhore Fort   

  Jeep Safari in Ranthambore"
60. Prayagraj,Located in : Uttar Pradesh,"Known For : 
  Triveni Sangam  
 

  Khusro Bagh   

  Anand Bhawan"
61. Amarnath,Located in : Jammu and Kashmir,"Known For : 
  Amarnath Cave  
 

  Amarnath Yatra   

  Baltal"
62. Hyderabad,Located in : Telangana,"Known For : 
  Ramoji Film City  
 

  Irani Cafes   

  Hussain Sagar Lake"
63. Tirupati,Located in : Andhra Pradesh,"Known For : 
  Sri Venkateswara Temple  
 

  Akasaganga Teertham   

  Silathoranam"
64. Cherrapunji,Located in : Meghalaya,"Known For : 
  Double Decker Living Root Bridge  
 

  Nohkalikai Waterfalls   

  Mawsmai Cave"
65. Pachmarhi,Located in : Madhya Pradesh,"Known For : 
  Bee falls  
 

  Jata Shankar caves   

  Pandava Caves"
66. Mount Abu,Located in : Rajasthan,"Known For : 
  Dilwara Temples (Delwada Temple)  
 

  Toad Rock   

  Mount Abu Sunset Point"
67. Mysore,Located in : Karnataka,"Known For : 
  Mysore Palace  
 

  Somanathapura Temple   

  Brindavan Gardens"
68. Jim Corbett National Park,Located in : Uttarakhand,"Known For : 
  Jim Corbett Waterfall  
 

  Stay Inside the Forest – Dhikala Forest Lodge   

  Jungle Safari in Corbett National Park"
69. Lonavala,Located in : Maharashtra,"Known For : 
  Tiger's Leap  
 

  Rajmachi Fort   

  Imagicaa"
70. Parvati Valley,Located in : Himachal Pradesh,"Known For : 
  Kasol  
 

  Malana   

  Tosh"
71. Kanha National Park,Located in : Madhya Pradesh,Best Time:  October to June
72. Kasol,Located in : Himachal Pradesh,"Known For : 
  Manikaran Sahib  
 

  Nature Park Kasol   

  Kheerganga Trek"
73. Madurai,Located in : Tamil Nadu,"Known For : 
  Madurai Meenakshi Amman Temple  
 

  Thirumalai Nayakar Mahal   

  Vaigai Dam"
74. Bodh Gaya,Located in : Bihar,"Known For : 
  Mahabodhi Temple  
 

  Great Buddha Statue   

  Tibetan Refugee Market"
75. Auli,Located in : Uttarakhand,"Known For : 
  Auli Ropeway  
 

  View Points in Auli   

  Skiing in Auli"
76. Ahmedabad,Located in : Gujarat,"Known For : 
  Sabarmati Ashram  
 

  Sidi Saiyyed Mosque   

  Sabarmati Riverfront"
77. Chandigarh,,"Known For : 
  Nek Chand’s Rock Garden of Chandigarh  
 

  Sukhna Lake   

  Japanese Garden"
78. Kaziranga National Park,Located in : Assam,Best Time:  October to June
79. Nashik,Located in : Maharashtra,"Known For : 
  Panchvati  
 

  Sula Vineyard   

  Dudhsagar falls, Nasik"
80. Alibaug,Located in : Maharashtra,"Known For : 
  Alibaug Beach  
 

  Kolaba Fort   

  Water Sports in Alibaug"
81. Mathura,Located in : Uttar Pradesh,"Known For : 
  Shri Krishna Janmasthan Temple  
 

  Govardhan Hill   

  Dwarkadheesh Temple, Mathura"
82. Nubra Valley,,"Known For : 
  Diskit Monastery  
 

  Hunder Village   

  Panamik Hot Springs"
83. Jog Falls,Located in : Karnataka,Best Time:  July to December
84. Pushkar,Located in : Rajasthan,"Known For : 
  Pushkar Lake  
 

  Camel Safari in Pushkar   

  Savitri Mata Ropeway"
85. Almora,Located in : Uttarakhand,"Known For : 
  Jageshwar  
 

  Dunagiri   

  Kasar Devi Temple"
86. Shirdi,Located in : Maharashtra,"Known For : 
  Shri Sai Baba Sansthan Temple  
 

  Shani Shingnapur   

  Samadhi Mandir"
87. Mahabaleshwar,Located in : Maharashtra,"Known For : 
  Elephant's Head Point  
 

  Chinaman's Falls   

  Dhobi Waterfall"
88. Shimoga (Shivamogga),Located in : Karnataka,"Known For : 
  Kodachadri  
 

  Jog Falls   

  Agumbe"
89. Visakhapatnam,Located in : Andhra Pradesh,"Known For : 
  Borra Caves  
 

  Submarine Museum   

  Kailasagiri"
90. Jibhi,Located in : Himachal Pradesh,Best Time:  March - June
91. Pune,Located in : Maharashtra,"Known For : 
  Shaniwar Wada  
 

  Aga Khan Palace   

  Osho Ashram"
92. Vrindavan,Located in : Uttar Pradesh,"Known For : 
  Banke Bihari Mandir  
 

  Prem Mandir   

  Nidhivan"
93. Coimbatore,Located in : Tamil Nadu,"Known For : 
  Vydehi Falls  
 

  Adiyogi Shiva Statue   

  Kovai Kondattam"
94. Lucknow,Located in : Uttar Pradesh,"Known For : 
  Bara Imambara  
 

  Ramakrishna Math Lucknow   

  Ambedkar Memorial Park"
95. Dharamshala,Located in : Himachal Pradesh,"Known For : 
  Dalai Lama Temple  
 

  St. John in the Wilderness Church   

  Dharamshala Cricket Stadium"
96. Gwalior,Located in : Madhya Pradesh,"Known For : 
  Gwalior Fort  
 

  Jai Vilas Palace   

  Gujari Mahal (State Archaeological Museum)"
97. Khandala,Located in : Maharashtra,"Known For : 
  Rajmachi Fort  
 

  Visapur Fort   

  Bedsa caves"
98. Kovalam,Located in : Kerala,"Known For : 
  Kovalam Beach  
 

  Vizhinjam Lighthouse   

  Neyyar Wildlife Sanctuary"
99. Madikeri,Located in : Karnataka,"Known For : 
  Abbey Falls  
 

  Talacauvery   

  Namdroling Monastery"
100. Matheran,Located in : Maharashtra,"Known For : 
  Louisa point  
 

  Charlotte lake   

  Monkey Point Matheran"
